County_subdivision,a,Y,b,c,d,e,f,sub,County,coun,Housings,House_age,Hispanic
"District 5, Pointe Coupee Parish",0.602777778,2.715848584,1,635.8363285,60.21438057,50525,2.6,94,Pointe Coupee Parish,19,1414,70.7,7.2
"District 5, St. Charles Parish",1390.816944,5.427282318,22,5202.666378,29.29011538,47577,47.6,95,St. Charles Parish,22,2981,80.2,9.1
"District 5, Assumption Parish",0.539444444,1.292847989,14,1518.388631,45.83189188,67788,28,87,Assumption Parish,3,1720,86.6,3.8
"District 9, Catahoula Parish",0.5,3.646656402,0,0,95.37094445,30281,6.3,146,Catahoula Parish,6,690,72.2,4.9
"District 9, Iberville Parish",2.886388889,4.374221577,16,836.4674235,56.40170492,65723,53.2,149,Iberville Parish,11,1031,56.4,2.9
"District 9, Assumption Parish",0.5,1.53791937,14,1518.388631,55.83659032,49050,0,145,Assumption Parish,3,1547,85.4,2.2
"District 3, Iberia Parish",21.76694444,2.152336623,0,441.6990598,121.2469046,64737,10.7,54,Iberia Parish,10,2620,57.4,0
"District 3, St. Landry Parish",1.383888889,0.567585007,0,0,129.0556702,33955,69.3,64,St. Landry Parish,26,2148,89.1,9.2
"District 3, Livingston Parish",159.5441667,0.335615427,18,786.7475868,17.03721362,64293,4.5,58,Livingston Parish,16,7881,46.6,0.2
"District 6, Lafourche Parish",441.6238889,5.187191792,29,3938.272507,25.78629349,36320,32.7,107,Lafourche Parish,15,4738,86,11.9
"District 6, St. James Parish",52.38333333,3.158665846,18,2029.541769,13.94312894,38575,39.8,112,St. James Parish,24,1149,78.3,7.5
"District 6, Iberia Parish",2.136388889,1.169503212,0,281.9506425,115.7786351,48857,44.8,106,Iberia Parish,10,2413,72,11.5
"District 4, Allen Parish",23.53194444,3.177974759,0,0,199.2091162,48015,9.3,71,Allen Parish,1,2058,71.7,5.4
"District 2, St. Mary Parish",1.031666667,0.876163102,3,1399.412486,86.06372003,42383,58.7,45,St. Mary Parish,28,2246,90.6,4.4
"District 2, Plaquemines Parish",255.3244444,4.341177946,15,644.8623017,59.3584038,121304,4,38,Plaquemines Parish,18,1389,53.1,0
"District 5, Iberia Parish",11.27,0.338385429,0,441.6990598,121.1610522,39277,31.2,89,Iberia Parish,10,1803,93.4,2.9
"District 5, Calcasieu Parish",144.3325,1.457664708,0,0,238.1825324,54000,14.5,88,Calcasieu Parish,4,7115,72.7,3.2
"District 3, Cameron Parish",7.5,1.527570425,0.5,0,224.8587526,61522,0,51,Cameron Parish,5,1005,41.7,0.5
"District 3, East Baton Rouge Parish",233.2519444,0.150737739,6,107.9600511,42.23134077,78024,20.5,52,East Baton Rouge Parish,7,18048,53.6,0.6
"District 3, Plaquemines Parish",1.0625,2.254779694,15,644.8623017,58.29256978,79801,0,59,Plaquemines Parish,18,1554,96.4,11.7
"District 9, East Baton Rouge Parish",827.0197222,0.533098182,6,731.1983216,30.42893434,88195,23.6,147,East Baton Rouge Parish,7,16014,65,0.8
"District 9, Livingston Parish",762.2458333,6.0358938,18,1458.524256,19.09804503,66614,1.6,151,Livingston Parish,16,4758,64.6,0.4
"District 6, East Feliciana Parish",1.591388889,1.458778779,7,872.2779643,29.46979409,74141,14.3,105,East Feliciana Parish,8,1355,74,5.2
"District 6, Livingston Parish",359.6258333,0.791204488,18,4689.47213,23.86297468,73707,11.5,108,Livingston Parish,16,8398,42.3,3.9
